ticker,entry_date,entry_price,stop_loss,target,shares,position_value,entry_cost,risk,consecutive_reds,status,exit_price,exit_date,exit_cost,pnl,pnl_percent,return_on_capital
NSE:DIVISLAB-EQ,2024-05-31 00:00:00+05:30,4006.4024,3350,5319.2072,49.92009789,200000,60,656.4024,3,Win,5313.887993,2024-09-30 00:00:00+05:30,79.58094264,65130.22784,32.56511392,6.513022784
NSE:ULTRACEMCO-EQ,2024-05-31 00:00:00+05:30,9981.82185,9435.15,11075.16555,20.03642251,200000,60,546.67185,3,Win,11064.09038,2024-06-30 00:00:00+05:30,66.50543689,21558.28419,10.77914209,2.155828419
NSE:UPL-EQ,2024-05-31 00:00:00+05:30,487.87739,429.55,604.53217,409.9390628,200000,60,58.32739,3,Win,603.9276378,2025-01-31 00:00:00+05:30,74.27205895,47439.25777,23.71962888,4.743925777
NSE:BRITANNIA-EQ,2024-06-30 00:00:00+05:30,5305.3,4641,6633.9,37.69815091,200000,60,664.3,4,Open,,,0,0,0,0
NSE:HINDUNILVR-EQ,2024-06-30 00:00:00+05:30,2344.46212,2136.58,2760.22636,85.30741371,200000,60,207.88212,4,Win,2757.466134,2024-07-31 00:00:00+05:30,70.56969128,35101.73456,17.55086728,3.510173456
NSE:DRREDDY-EQ,2024-07-31 00:00:00+05:30,1287.286,1141.8,1578.258,155.3656297,200000,60,145.486,3,Open,,,0,0,0,0
NSE:HCLTECH-EQ,2024-07-31 00:00:00+05:30,1466.465,1301.65,1796.095,136.3823889,200000,60,164.815,3,Win,1794.298905,2024-09-30 00:00:00+05:30,73.41323134,44577.35791,22.28867895,4.457735791
NSE:INFY-EQ,2024-07-31 00:00:00+05:30,1561.0595,1378.75,1925.6785,128.1181147,200000,60,182.3095,3,Win,1923.752821,2024-08-31 00:00:00+05:30,73.94027536,46333.64427,23.16682214,4.633364427
NSE:LTIM-EQ,2024-07-31 00:00:00+05:30,5377.82245,4565.5,7002.46735,37.18977372,200000,60,812.32245,5,Open,,,0,0,0,0
NSE:SBILIFE-EQ,2024-07-31 00:00:00+05:30,1493.44195,1371,1738.32585,133.9188309,200000,60,122.44195,3,Win,1736.587524,2024-08-31 00:00:00+05:30,69.76853131,32432.0025,16.21600125,3.24320025
NSE:TCS-EQ,2024-07-31 00:00:00+05:30,3887.884,3653.75,4356.152,51.44186401,200000,60,234.134,3,Win,4351.795848,2024-08-31 00:00:00+05:30,67.15934706,23737.33085,11.86866542,2.373733085
NSE:WIPRO-EQ,2024-07-31 00:00:00+05:30,259.20895,217.55,342.52685,771.5782962,200000,60,41.65895,3,Open,,,0,0,0,0
NSE:ADANIENT-EQ,2024-10-31 00:00:00+05:30,3043.6406,2650.52,3829.8818,65.7107807,200000,60,393.1206,3,Loss,2647.86948,2024-11-30 00:00:00+05:30,52.19807122,-26118.62735,-13.05931367,-2.611862735
NSE:INDUSINDBK-EQ,2024-10-31 00:00:00+05:30,1451.45,1329.2,1695.95,137.7932412,200000,60,122.25,5,Loss,1327.8708,2024-11-30 00:00:00+05:30,54.89148644,-17143.27,-8.571635002,-1.714327
NSE:LT-EQ,2024-12-31 00:00:00+05:30,3710.55685,3262.55,4606.57055,53.90026567,200000,60,448.00685,3,Open,,,0,0,0,0
NSE:ADANIPORTS-EQ,2025-01-31 00:00:00+05:30,1224.223,995.65,1681.369,163.3689287,200000,60,228.573,4,Open,,,0,0,0,0
NSE:DRREDDY-EQ,2025-01-31 00:00:00+05:30,1389.83845,1170.2,1829.11535,143.9016168,200000,60,219.63845,3,Open,,,0,0,0,0
